pick,player_id,round,name
1,3043078,1,Derrick Henry
2,3042519,1,Aaron Jones
3,4242335,1,Jonathan Taylor
4,4259545,1,D'Andre Swift
5,3068267,1,Austin Ekeler
6,4262921,1,Justin Jefferson
7,3116593,1,Dalvin Cook
8,3128720,1,Nick Chubb
9,3117251,1,Christian McCaffrey
10,3116385,1,Joe Mixon
11,15847,2,Travis Kelce
12,16800,2,Davante Adams
13,4241389,2,CeeDee Lamb
14,2976212,2,Stefon Diggs
15,3054850,2,Alvin Kamara
16,4241457,2,Najee Harris
17,4361579,2,Javonte Williams
18,3126486,2,Deebo Samuel
19,3045147,2,James Conner
20,3929630,2,Saquon Barkley
21,16737,3,Mike Evans
22,3918298,3,Josh Allen
23,4047650,3,DK Metcalf
24,4427366,3,Breece Hall
25,3051392,3,Ezekiel Elliott
26,4241985,3,J.K. Dobbins
27,4360294,3,Antonio Gibson
28,3128429,3,Courtland Sutton
29,4047646,3,A.J. Brown
30,3116406,3,Tyreek Hill
31,4047365,4,Josh Jacobs
32,4038941,4,Justin Herbert
33,4035538,4,David Montgomery
34,4241555,4,Elijah Mitchell
35,3915416,4,DJ Moore
36,4360248,4,Kyle Pitts
37,2977187,4,Cooper Kupp
38,4239934,4,AJ Dillon
39,15818,4,Keenan Allen
40,4239996,4,Travis Etienne Jr.
41,3121422,5,Terry McLaurin
42,3117256,5,Dalton Schultz
43,3139477,5,Patrick Mahomes
44,16731,5,Brandin Cooks
45,4372016,5,Jaylen Waddle
46,3932905,5,Diontae Johnson
47,2576925,5,Darren Waller
48,3040151,5,George Kittle
49,4045163,5,Miles Sanders
50,3916387,5,Lamar Jackson
51,16799,6,Allen Robinson II
52,3116365,6,Mark Andrews
53,4372414,6,Elijah Moore
54,4241372,6,Marquise Brown
55,3917315,6,Kyler Murray
56,4241463,6,Jerry Jeudy
57,2976316,6,Michael Thomas
58,16460,6,Adam Thielen
59,4243537,6,Gabe Davis
60,4362628,6,Ja'Marr Chase
61,4360939,7,Rashod Bateman
62,4567048,7,Kenneth Walker III
63,4036133,7,T.J. Hockenson
64,3930086,7,Dawson Knox
65,4374302,7,Amon-Ra St. Brown
66,3045138,7,Mike Williams
67,3915511,7,Joe Burrow
68,3120348,7,JuJu Smith-Schuster
69,3116165,7,Chris Godwin
70,4242214,7,Clyde Edwards-Helaire
71,4239993,8,Tee Higgins
72,15807,8,Cordarrelle Patterson
73,3115364,8,Leonard Fournette
74,4040655,8,Darnell Mooney
75,15835,8,Zach Ertz
76,4040715,8,Jalen Hurts
77,2976499,8,Amari Cooper
78,3059915,8,Kareem Hunt
79,3128390,8,Allen Lazard
80,3119195,8,Chase Edmonds
81,2577417,9,Dak Prescott
82,4569173,9,Rhamondre Stevenson
83,12483,9,Matthew Stafford
84,2330,9,Tom Brady
85,4040761,9,Devin Singletary
86,2576434,9,Melvin Gordon III
87,4383351,9,Trey Lance
88,14881,9,Russell Wilson
89,3916148,9,Tony Pollard
90,15795,9,DeAndre Hopkins
91,4241478,10,DeVonta Smith
92,4360238,10,Dameon Pierce
93,4052042,10,James Robinson
94,4240021,10,Cam Akers
95,3925347,10,Damien Harris
96,4379399,10,James Cook
97,4567156,10,Treylon Burks
98,2980453,10,Jamaal Williams
99,15880,10,Robert Woods
100,4426502,10,Drake London
101,3121023,11,Dallas Goedert
102,-16027,11,Buccaneers D/ST
103,3116164,11,Mike Gesicki
104,-16011,11,Colts D/ST
105,3135321,11,Hunter Renfrow
106,4240600,11,Kadarius Toney
107,-16002,11,Bills D/ST
108,8439,11,Aaron Rodgers
109,4360438,11,Brandon Aiyuk
110,4039359,11,Darrell Henderson Jr.
111,-16017,12,Patriots D/ST
112,4569618,12,Garrett Wilson
113,4430191,12,Skyy Moore
114,4361432,12,Romeo Doubs
115,-16025,12,49ers D/ST
116,4361370,12,Chris Olave
117,4361777,12,Zamir White
118,4035687,12,Michael Pittman Jr.
119,4249087,12,Matt Gay
120,4426891,12,Isaiah Spiller
121,-16014,13,Rams D/ST
122,16757,13,Derek Carr
123,2972515,13,Cooper Rush
124,4258595,13,Cole Kmet
125,3051909,13,Daniel Carlson
126,3912550,13,Ronald Jones
127,3917232,13,Tyler Bass
128,4240657,13,Michael Carter
129,15683,13,Justin Tucker
130,12731,13,Ryan Succop
131,4361411,14,Pat Freiermuth
132,-16018,14,Saints D/ST
133,16339,14,Brandon McManus
134,4373626,14,Tyler Allgeier
135,4360310,14,Trevor Lawrence
136,-16007,14,Broncos D/ST
137,4360234,14,Evan McPherson
138,-16008,14,Lions D/ST
139,4248528,14,Christian Watson
140,3055899,14,Harrison Butker
141,3122840,15,Deshaun Watson
142,3139925,15,Rashaad Penny
143,3930066,15,Van Jefferson
144,4241479,15,Tua Tagovailoa
145,4362887,15,Justin Fields
146,11122,15,Matt Prater
147,4426388,15,Jameson Williams
148,4040980,15,Irv Smith Jr.
149,14880,15,Kirk Cousins
150,4035886,15,Khalil Herbert
151,2969939,16,Jameis Winston
152,2573401,16,Tyler Higbee
153,-16010,16,Titans D/ST
154,2975674,16,Robert Tonyan
155,4361259,16,Zach Wilson
156,-16009,16,Packers D/ST
157,4039160,16,Kylen Granson
158,3821683,16,Austin Seibert
159,3123076,16,David Njoku
160,4035115,16,Albert Okwuegbunam
